state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-12-20,0.52,0.33,0.67,0.43,0.5700000000000001
Romania_CODE,2020-12-21,0.77,0.59,0.93,0.68,0.8200000000000001
Romania_CODE,2020-12-22,1.02,0.84,1.18,0.93,1.07
Romania_CODE,2020-12-23,0.8300000000000001,0.65,0.99,0.74,0.88
Romania_CODE,2020-12-24,0.58,0.39,0.74,0.47000000000000003,0.62
Romania_CODE,2020-12-25,0.23,0.05,0.4,0.13,0.28
Romania_CODE,2020-12-26,0.15,0.0,0.32,0.04,0.19
Romania_CODE,2020-12-27,0.73,0.51,0.91,0.61,0.78
Romania_CODE,2020-12-28,1.51,1.29,1.68,1.4000000000000001,1.56
Romania_CODE,2020-12-29,1.79,1.61,1.97,1.7,1.85
Romania_CODE,2020-12-30,1.44,1.25,1.6,1.33,1.48
Romania_CODE,2020-12-31,0.93,0.73,1.09,0.8200000000000001,0.97
Romania_CODE,2021-01-01,0.5,0.29,0.66,0.41000000000000003,0.56
Romania_CODE,2021-01-02,0.49,0.28,0.66,0.38,0.54
Romania_CODE,2021-01-03,1.09,0.88,1.26,0.98,1.1400000000000001
Romania_CODE,2021-01-04,1.6600000000000001,1.47,1.83,1.56,1.71
Romania_CODE,2021-01-05,1.86,1.67,2.0100000000000002,1.77,1.9100000000000001
Romania_CODE,2021-01-06,1.75,1.57,1.9000000000000001,1.6500000000000001,1.79
Romania_CODE,2021-01-07,1.16,0.99,1.31,1.06,1.2
Romania_CODE,2021-01-08,0.66,0.47000000000000003,0.8,0.56,0.7000000000000001
Romania_CODE,2021-01-09,0.34,0.14,0.49,0.23,0.38
Romania_CODE,2021-01-10,0.33,0.13,0.49,0.23,0.38
Romania_CODE,2021-01-11,0.58,0.38,0.75,0.46,0.62
Romania_CODE,2021-01-12,0.89,0.6900000000000001,1.06,0.77,0.93
Romania_CODE,2021-01-13,1.06,0.86,1.23,0.9400000000000001,1.1
Romania_CODE,2021-01-14,0.9500000000000001,0.75,1.12,0.8300000000000001,0.99
Romania_CODE,2021-01-15,0.62,0.41000000000000003,0.79,0.51,0.67
Romania_CODE,2021-01-16,0.3,0.1,0.49,0.18,0.35000000000000003
Romania_CODE,2021-01-17,0.28,0.05,0.46,0.17,0.34
Romania_CODE,2021-01-18,0.63,0.39,0.8200000000000001,0.5,0.68
Romania_CODE,2021-01-19,0.98,0.74,1.17,0.85,1.03
Romania_CODE,2021-01-20,1.2,0.97,1.3900000000000001,1.06,1.24
Romania_CODE,2021-01-21,1.1300000000000001,0.89,1.31,1.03,1.2
Romania_CODE,2021-01-22,0.85,0.62,1.04,0.72,0.9
Romania_CODE,2021-01-23,0.65,0.41000000000000003,0.84,0.52,0.7000000000000001
Romania_CODE,2021-01-24,0.75,0.5,0.9400000000000001,0.64,0.8200000000000001
Romania_CODE,2021-01-25,1.04,0.8,1.24,0.93,1.11
Romania_CODE,2021-01-26,1.31,1.08,1.51,1.19,1.37
Romania_CODE,2021-01-27,1.37,1.1400000000000001,1.56,1.27,1.44
Romania_CODE,2021-01-28,1.17,0.9500000000000001,1.36,1.06,1.23
Romania_CODE,2021-01-29,0.77,0.54,0.96,0.68,0.85
Romania_CODE,2021-01-30,0.51,0.28,0.71,0.39,0.5700000000000001
Romania_CODE,2021-01-31,0.54,0.29,0.74,0.41000000000000003,0.6
Romania_CODE,2021-02-01,0.85,0.61,1.06,0.72,0.91
Romania_CODE,2021-02-02,1.18,0.9500000000000001,1.3900000000000001,1.04,1.23
Romania_CODE,2021-02-03,1.34,1.11,1.54,1.22,1.4000000000000001
Romania_CODE,2021-02-04,1.25,1.01,1.44,1.12,1.3
Romania_CODE,2021-02-05,0.91,0.68,1.11,0.79,0.97
Romania_CODE,2021-02-06,0.7000000000000001,0.45,0.89,0.59,0.77
Romania_CODE,2021-02-07,0.79,0.54,0.99,0.65,0.84
Romania_CODE,2021-02-08,1.02,0.79,1.23,0.88,1.07
Romania_CODE,2021-02-09,1.26,1.01,1.45,1.1400000000000001,1.32
Romania_CODE,2021-02-10,1.29,1.06,1.49,1.17,1.35
Romania_CODE,2021-02-11,1.1300000000000001,0.91,1.33,1.0,1.18
Romania_CODE,2021-02-12,0.79,0.56,0.99,0.67,0.85
Romania_CODE,2021-02-13,0.5700000000000001,0.33,0.77,0.47000000000000003,0.65
Romania_CODE,2021-02-14,0.66,0.43,0.88,0.53,0.72
Romania_CODE,2021-02-15,1.07,0.8200000000000001,1.27,0.93,1.12
Romania_CODE,2021-02-16,1.37,1.1300000000000001,1.57,1.26,1.44
Romania_CODE,2021-02-17,1.49,1.24,1.67,1.36,1.54
